seed,fold,model,model_label,SUBCLASS,f1
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,PCPG,0.3225806451612903
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,PRAD,0.24
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,SARC,0.15517241379310345
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,SKCM,0.5919282511210763
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,STES,0.3137254901960784
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,TGCT,0.2696629213483146
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,THCA,0.6074766355140186
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,THYM,0.3333333333333333
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,UCEC,0.46616541353383456
42,3,split_event_tfidf,Split-event Word TF-IDF,ACC,0.8163265306122449
42,3,split_event_tfidf,Split-event Word TF-IDF,BLCA,0.25
42,3,split_event_tfidf,Split-event Word TF-IDF,BRCA,0.5497076023391813
42,3,split_event_tfidf,Split-event Word TF-IDF,CESC,0.125
42,3,split_event_tfidf,Split-event Word TF-IDF,COAD,0.6172839506172839
42,3,split_event_tfidf,Split-event Word TF-IDF,DLBC,0.5384615384615384
42,3,split_event_tfidf,Split-event Word TF-IDF,GBMLGG,0.26459143968871596
42,3,split_event_tfidf,Split-event Word TF-IDF,HNSC,0.1875
42,3,split_event_tfidf,Split-event Word TF-IDF,KIPAN,0.15384615384615385
42,3,split_event_tfidf,Split-event Word TF-IDF,KIRC,0.09691629955947137
42,3,split_event_tfidf,Split-event Word TF-IDF,LAML,0.5882352941176471
42,3,split_event_tfidf,Split-event Word TF-IDF,LGG,0.32954545454545453
42,3,split_event_tfidf,Split-event Word TF-IDF,LIHC,0.21739130434782608
42,3,split_event_tfidf,Split-event Word TF-IDF,LUAD,0.2857142857142857
42,3,split_event_tfidf,Split-event Word TF-IDF,LUSC,0.25
42,3,split_event_tfidf,Split-event Word TF-IDF,OV,0.3181818181818182
42,3,split_event_tfidf,Split-event Word TF-IDF,PAAD,0.15384615384615385
42,3,split_event_tfidf,Split-event Word TF-IDF,PCPG,0.3333333333333333
42,3,split_event_tfidf,Split-event Word TF-IDF,PRAD,0.25906735751295334
42,3,split_event_tfidf,Split-event Word TF-IDF,SARC,0.17391304347826086
42,3,split_event_tfidf,Split-event Word TF-IDF,SKCM,0.6376811594202898
42,3,split_event_tfidf,Split-event Word TF-IDF,STES,0.3170731707317073
42,3,split_event_tfidf,Split-event Word TF-IDF,TGCT,0.26666666666666666
42,3,split_event_tfidf,Split-event Word TF-IDF,THCA,0.6197183098591549
42,3,split_event_tfidf,Split-event Word TF-IDF,THYM,0.35294117647058826
42,3,split_event_tfidf,Split-event Word TF-IDF,UCEC,0.5068493150684932
42,3,split_event_structural,Split-event Word TF-IDF + structural,ACC,0.9090909090909091
42,3,split_event_structural,Split-event Word TF-IDF + structural,BLCA,0.26666666666666666
42,3,split_event_structural,Split-event Word TF-IDF + structural,BRCA,0.5594989561586639
42,3,split_event_structural,Split-event Word TF-IDF + structural,CESC,0.09523809523809523
42,3,split_event_structural,Split-event Word TF-IDF + structural,COAD,0.647887323943662
42,3,split_event_structural,Split-event Word TF-IDF + structural,DLBC,0.6
42,3,split_event_structural,Split-event Word TF-IDF + structural,GBMLGG,0.2857142857142857
42,3,split_event_structural,Split-event Word TF-IDF + structural,HNSC,0.22580645161290322
42,3,split_event_structural,Split-event Word TF-IDF + structural,KIPAN,0.21700879765395895
42,3,split_event_structural,Split-event Word TF-IDF + structural,KIRC,0.09090909090909091
42,3,split_event_structural,Split-event Word TF-IDF + structural,LAML,0.5811965811965812
42,3,split_event_structural,Split-event Word TF-IDF + structural,LGG,0.3314285714285714
42,3,split_event_structural,Split-event Word TF-IDF + structural,LIHC,0.32323232323232326
42,3,split_event_structural,Split-event Word TF-IDF + structural,LUAD,0.24444444444444444
42,3,split_event_structural,Split-event Word TF-IDF + structural,LUSC,0.3780487804878049
42,3,split_event_structural,Split-event Word TF-IDF + structural,OV,0.3406113537117904
42,3,split_event_structural,Split-event Word TF-IDF + structural,PAAD,0.17142857142857143
42,3,split_event_structural,Split-event Word TF-IDF + structural,PCPG,0.3779527559055118
42,3,split_event_structural,Split-event Word TF-IDF + structural,PRAD,0.3285024154589372
42,3,split_event_structural,Split-event Word TF-IDF + structural,SARC,0.12631578947368421
42,3,split_event_structural,Split-event Word TF-IDF + structural,SKCM,0.6547085201793722
42,3,split_event_structural,Split-event Word TF-IDF + structural,STES,0.3377777777777778
42,3,split_event_structural,Split-event Word TF-IDF + structural,TGCT,0.44660194174757284
42,3,split_event_structural,Split-event Word TF-IDF + structural,THCA,0.6699029126213593
42,3,split_event_structural,Split-event Word TF-IDF + structural,THYM,0.36363636363636365
42,3,split_event_structural,Split-event Word TF-IDF + structural,UCEC,0.45588235294117646
